name,tag,expected,outcome,wall_ms,verdict,detail
AssertionError1,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
AssertionError1_fail,THOROUGH,^VERIFICATION FAILED$,PASS,54,FAILED,^VERIFICATION FAILED$
AssertionError2,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,95,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
AssertionError2_fail,CORE,^VERIFICATION FAILED$,PASS,101,FAILED,^VERIFICATION FAILED$
abs,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
abs-fail,CORE,,UNKNOWN,52,FAILED,no expected regex
all,CORE,,UNKNOWN,69,SUCCESSFUL,no expected regex
all2,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
all3,CORE,^VERIFICATION SUCCESSFUL$,DIFF,55,FAILED,expected=^VERIFICATION SUCCESSFUL$
all4,CORE,^VERIFICATION SUCCESSFUL$,DIFF,60,FAILED,expected=^VERIFICATION SUCCESSFUL$
all5,CORE,^VERIFICATION SUCCESSFUL$,DIFF,79,FAILED,expected=^VERIFICATION SUCCESSFUL$
all6,CORE,^VERIFICATION SUCCESSFUL$,DIFF,140,FAILED,expected=^VERIFICATION SUCCESSFUL$
all6_fail,CORE,^VERIFICATION FAILED$,PASS,146,FAILED,^VERIFICATION FAILED$
annotate-else,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,62,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
annotate-function,CORE,,UNKNOWN,63,SUCCESSFUL,no expected regex
annotate-method,CORE,^VERIFICATION SUCCESSFUL$,PASS,63,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
any,CORE,^VERIFICATION SUCCESSFUL$,DIFF,3211,FAILED,expected=^VERIFICATION SUCCESSFUL$
any-example,CORE,^VERIFICATION SUCCESSFUL$,PASS,71,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
any-example_fail,CORE,^VERIFICATION FAILED$,PASS,75,FAILED,^VERIFICATION FAILED$
any2,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
arith-ops,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
arith-ops-fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
assert,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-always-true,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-arith,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-branch_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
assert-class,CORE,^VERIFICATION SUCCESSFUL$,PASS,61,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
assert-list_fail,CORE,^VERIFICATION FAILED$,PASS,61,FAILED,^VERIFICATION FAILED$
assert-logical_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
assert-loop,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert-message_fail,CORE,^  x is equal to y$,FAIL,51,FAILED,expected=^  x is equal to y$
assert-nested_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
assert-recursive_fail,CORE,^VERIFICATION FAILED$,PASS,55,FAILED,^VERIFICATION FAILED$
assert2,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert3,CORE,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
assert4-fail,CORE,^VERIFICATION FAILED$,PASS,58,FAILED,^VERIFICATION FAILED$
assert5_fail,CORE,^  assertion x != y$,FAIL,52,FAILED,expected=^  assertion x != y$
assign-fail,CORE,ERROR: Type inference failed at line 1. Variable q not found,FAIL,52,SUCCESSFUL,expected=ERROR: Type inference failed at line 1. Variable q not found
aug-assign,CORE,,UNKNOWN,106,SUCCESSFUL,no expected regex
binary-ops,CORE,^VERIFICATION SUCCESSFUL$,PASS,59,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
binary-search,CORE,^VERIFICATION SUCCESSFUL$,PASS,113,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
bitwise-fail,CORE,,UNKNOWN,56,FAILED,no expected regex
boolop-len-or,CORE,^VERIFICATION SUCCESSFUL$,PASS,60,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
boolop-short-circuit,CORE,,UNKNOWN,93,FAILED,no expected regex
boolop-short-circuit-fail,CORE,,UNKNOWN,92,FAILED,no expected regex
bounds-checking_fail,THOROUGH,^\s*index\s*<\s*l->size\s*$,FAIL,64,FAILED,expected=^\s*index\s*<\s*l->size\s*$
branch_coverage-fail,THOROUGH,^VERIFICATION FAILED$,PASS,96,FAILED,^VERIFICATION FAILED$
built-in-functions,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
builtin1,THOROUGH,,UNKNOWN,51,SUCCESSFUL,no expected regex
builtin1_fail,THOROUGH,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
builtin2,CORE,^VERIFICATION SUCCESSFUL$,DIFF,54,FAILED,expected=^VERIFICATION SUCCESSFUL$
builtin2_fail,CORE,^VERIFICATION FAILED$,PASS,61,FAILED,^VERIFICATION FAILED$
builtin_all,CORE,^VERIFICATION SUCCESSFUL$,DIFF,8324,FAILED,expected=^VERIFICATION SUCCESSFUL$
builtin_all_complex,CORE,^VERIFICATION SUCCESSFUL$,PASS,625,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
builtin_all_complex_fail,CORE,^VERIFICATION FAILED$,PASS,331,FAILED,^VERIFICATION FAILED$
builtin_all_fail,CORE,^VERIFICATION FAILED$,PASS,60,FAILED,^VERIFICATION FAILED$
builtin_all_genexp,CORE,^VERIFICATION SUCCESSFUL$,DIFF,117,FAILED,expected=^VERIFICATION SUCCESSFUL$
builtin_all_genexp_assign,CORE,^VERIFICATION SUCCESSFUL$,PASS,66,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
builtin_all_genexp_assign_fail,CORE,^VERIFICATION FAILED$,PASS,68,FAILED,^VERIFICATION FAILED$
builtin_all_genexp_fail,CORE,^VERIFICATION FAILED$,PASS,58,FAILED,^VERIFICATION FAILED$
builtin_all_genexp_inner_iter_shadow,CORE,^VERIFICATION SUCCESSFUL$,DIFF,64,FAILED,expected=^VERIFICATION SUCCESSFUL$
builtin_all_genexp_nested,CORE,^VERIFICATION SUCCESSFUL$,DIFF,87,FAILED,expected=^VERIFICATION SUCCESSFUL$
builtin_all_genexp_nested_fail,CORE,^VERIFICATION FAILED$,PASS,72,FAILED,^VERIFICATION FAILED$
builtin_all_genexp_scope,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
builtin_all_genexp_short_circuit,CORE,^VERIFICATION SUCCESSFUL$,DIFF,62,FAILED,expected=^VERIFICATION SUCCESSFUL$
builtin_all_genexp_wrapped,CORE,^VERIFICATION SUCCESSFUL$,PASS,84,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
builtin_all_nonliteral,CORE,^VERIFICATION SUCCESSFUL$,PASS,142,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
builtin_any_empty_container,CORE,^VERIFICATION SUCCESSFUL$,DIFF,884,FAILED,expected=^VERIFICATION SUCCESSFUL$
builtin_any_empty_container_fail,CORE,^VERIFICATION FAILED$,PASS,369,FAILED,^VERIFICATION FAILED$
bytes,CORE,^VERIFICATION SUCCESSFUL$,DIFF,55,FAILED,expected=^VERIFICATION SUCCESSFUL$
bytes-assert-fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
bytes-bounds-fail,CORE,^VERIFICATION FAILED$,PASS,54,FAILED,^VERIFICATION FAILED$
bytes-neg-index,CORE,^VERIFICATION SUCCESSFUL$,PASS,58,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
bytes2,CORE,^VERIFICATION SUCCESSFUL$,PASS,58,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
bytes2-fail,CORE,^VERIFICATION FAILED$,PASS,55,FAILED,^VERIFICATION FAILED$
bytes3,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
bytes4,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
bytes4-fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
bytes5,THOROUGH,,UNKNOWN,61,SUCCESSFUL,no expected regex
bytes5_fail,THOROUGH,^VERIFICATION FAILED$,PASS,61,FAILED,^VERIFICATION FAILED$
callable,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
callable2,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
callable2_fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
callable3,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
callable3_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
callable4,CORE,^VERIFICATION SUCCESSFUL$,DIFF,54,FAILED,expected=^VERIFICATION SUCCESSFUL$
callable5,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
callable6_fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
callable7,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
callable_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
cast,KNOWNBUG,^VERIFICATION SUCCESSFUL$,DIFF,52,FAILED,expected=^VERIFICATION SUCCESSFUL$
casting,CORE,^VERIFICATION SUCCESSFUL$,DIFF,52,FAILED,expected=^VERIFICATION SUCCESSFUL$
casting-chr-func,CORE,^VERIFICATION SUCCESSFUL$,DIFF,56,FAILED,expected=^VERIFICATION SUCCESSFUL$
casting-chr-multibyte,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting-chr-multibyte-fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
casting-chr-multibyte-reassign,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting-chr-multibyte2,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting-chr-var-multibyte,CORE,^VERIFICATION SUCCESSFUL$,DIFF,60,FAILED,expected=^VERIFICATION SUCCESSFUL$
casting10,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting11,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting12-fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
casting13-fail,CORE,^\s*Throwing an exception of type TypeError but there is not catch for it.$,FAIL,51,SUCCESSFUL,expected=^\s*Throwing an exception of type TypeError but there is not catch for it.$
casting14,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting14-fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
casting15-fail,CORE,^\s*Throwing an exception of type ValueError but there is not catch for it.$,FAIL,51,FAILED,expected=^\s*Throwing an exception of type ValueError but there is not catch for it.$
casting18-fail,CORE,^VERIFICATION FAILED$,PASS,54,FAILED,^VERIFICATION FAILED$
casting2,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting20,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting21-fail,CORE,^VERIFICATION FAILED$,PASS,50,FAILED,^VERIFICATION FAILED$
casting22-fail,CORE,^\s*Throwing an exception of type TypeError but there is not catch for it.$,FAIL,55,FAILED,expected=^\s*Throwing an exception of type TypeError but there is not catch for it.$
casting23,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting24-fail,CORE,^\s*Throwing an exception of type TypeError but there is not catch for it.$,FAIL,52,FAILED,expected=^\s*Throwing an exception of type TypeError but there is not catch for it.$
casting25-fail,CORE,^\s*Throwing an exception of type TypeError but there is not catch for it.$,FAIL,55,FAILED,expected=^\s*Throwing an exception of type TypeError but there is not catch for it.$
casting26,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting26_fail,CORE,^VERIFICATION FAILED$,PASS,50,FAILED,^VERIFICATION FAILED$
casting27,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting27_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
casting28,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting28_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
casting29,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting29_fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
casting3-fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
casting30,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting30_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
casting31,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting31_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
casting4,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting5-fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
casting6,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
casting7-fail,CORE,^ERROR: '<' not supported between instances of 'float' and 'str' at .*main\.py:4$,FAIL,57,FAILED,expected=^ERROR: '<' not supported between instances of 'float' and 'str' at .*main\.py:4$
casting8-fail,CORE,^ERROR: '<=' not supported between instances of 'float' and 'str' at .*main\.py:2$,FAIL,52,SUCCESSFUL,expected=^ERROR: '<=' not supported between instances of 'float' and 'str' at .*main\.py:2$
casting9-fail,CORE,^ERROR: '<' not supported between instances of 'float' and 'str' at .*main\.py:3$,FAIL,53,FAILED,expected=^ERROR: '<' not supported between instances of 'float' and 'str' at .*main\.py:3$
chained-comparison,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
chained-comparison-fail,CORE,^VERIFICATION FAILED$,PASS,50,FAILED,^VERIFICATION FAILED$
chained-comparison2,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
chained-comparison2_fail,CORE,^VERIFICATION FAILED$,PASS,57,FAILED,^VERIFICATION FAILED$
class-attributes,CORE,^VERIFICATION SUCCESSFUL$,DIFF,54,FAILED,expected=^VERIFICATION SUCCESSFUL$
class-attributes-scoped,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class-attributes_fail,CORE,^VERIFICATION FAILED$,DIFF,67,SUCCESSFUL,expected=^VERIFICATION FAILED$
class-binding,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class-func-fail,CORE,^VERIFICATION FAILED$,PASS,56,FAILED,^VERIFICATION FAILED$
class-methods,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class-methods-fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
class-nested-ctor,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class-super,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class-super-fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
class1,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class10,CORE,^VERIFICATION SUCCESSFUL$,DIFF,210,FAILED,expected=^VERIFICATION SUCCESSFUL$
class11,CORE,^VERIFICATION SUCCESSFUL$,DIFF,62,FAILED,expected=^VERIFICATION SUCCESSFUL$
class12,CORE,^VERIFICATION SUCCESSFUL$,DIFF,143,FAILED,expected=^VERIFICATION SUCCESSFUL$
class13,CORE,^VERIFICATION SUCCESSFUL$,PASS,70,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class14,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class14_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
class15,CORE,^VERIFICATION SUCCESSFUL$,PASS,108,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class15_fail,CORE,^VERIFICATION FAILED$,PASS,102,FAILED,^VERIFICATION FAILED$
class2,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class2_fail,CORE,^VERIFICATION FAILED$,PASS,56,FAILED,^VERIFICATION FAILED$
class3,CORE,^VERIFICATION SUCCESSFUL$,PASS,61,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class3_fail,CORE,^VERIFICATION FAILED$,PASS,65,FAILED,^VERIFICATION FAILED$
class4,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class5,CORE,^VERIFICATION SUCCESSFUL$,PASS,75,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class5_fail,CORE,^VERIFICATION FAILED$,PASS,78,FAILED,^VERIFICATION FAILED$
class6,CORE,^VERIFICATION SUCCESSFUL$,PASS,100,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class6_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
class7,CORE,^VERIFICATION SUCCESSFUL$,PASS,65,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class7_fail,CORE,^VERIFICATION FAILED$,PASS,90,FAILED,^VERIFICATION FAILED$
class9,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
class9-fail,CORE,^VERIFICATION FAILED$,PASS,56,FAILED,^VERIFICATION FAILED$
class_attr_inheritance,CORE,^VERIFICATION SUCCESSFUL$,PASS,50,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
classes,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
classes-fail,CORE,^VERIFICATION FAILED$,PASS,55,FAILED,^VERIFICATION FAILED$
combo1,CORE,^VERIFICATION SUCCESSFUL$,DIFF,107,FAILED,expected=^VERIFICATION SUCCESSFUL$
combo1_fail,CORE,^VERIFICATION FAILED$,DIFF,104,SUCCESSFUL,expected=^VERIFICATION FAILED$
combo2,CORE,^VERIFICATION SUCCESSFUL$,PASS,104,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
combo3,CORE,^VERIFICATION SUCCESSFUL$,DIFF,105,FAILED,expected=^VERIFICATION SUCCESSFUL$
combo4,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,130,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_abs_handler,CORE,^VERIFICATION SUCCESSFUL$,DIFF,473,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_assign_promote,CORE,^VERIFICATION SUCCESSFUL$,PASS,53,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_assign_promote_fail,CORE,^VERIFICATION FAILED$,PASS,56,FAILED,^VERIFICATION FAILED$
complex_attr_after_ops,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_attr_augassign,CORE,^VERIFICATION SUCCESSFUL$,DIFF,64,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_attr_chained,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_attr_cross_var,CORE,^VERIFICATION SUCCESSFUL$,PASS,64,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_attr_div_pow,CORE,^VERIFICATION SUCCESSFUL$,DIFF,60,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_attr_edge_values,CORE,^VERIFICATION SUCCESSFUL$,TOERR,64,,exit=6; expected=^VERIFICATION SUCCESSFUL$
complex_attr_float_type,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_attr_identities,CORE,^VERIFICATION SUCCESSFUL$,PASS,168,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_attr_imag_fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
complex_attr_in_exprs,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_attr_int_promotion,CORE,^VERIFICATION SUCCESSFUL$,DIFF,58,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_attr_mixed_arith,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_attr_real_fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
complex_attr_real_imag,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_attr_reassign,CORE,^VERIFICATION SUCCESSFUL$,DIFF,57,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_attr_with_abs,CORE,^VERIFICATION SUCCESSFUL$,PASS,3231,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_augassign,CORE,^VERIFICATION SUCCESSFUL$,DIFF,64,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_augassign_fail,CORE,^VERIFICATION FAILED$,PASS,55,FAILED,^VERIFICATION FAILED$
complex_augassign_handler,CORE,^VERIFICATION SUCCESSFUL$,DIFF,65,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_binop_promotion,CORE,^VERIFICATION SUCCESSFUL$,TOERR,131,,exit=6; expected=^VERIFICATION SUCCESSFUL$
complex_bool_context,CORE,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_builtins,CORE,^VERIFICATION SUCCESSFUL$,TOERR,116,,exit=6; expected=^VERIFICATION SUCCESSFUL$
complex_chained_ops,CORE,^VERIFICATION SUCCESSFUL$,DIFF,6326,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_cmath_log,CORE,^VERIFICATION SUCCESSFUL$,DIFF,429,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_cmath_log_base,CORE,^VERIFICATION SUCCESSFUL$,DIFF,272,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_cmath_log_edges,CORE,^VERIFICATION SUCCESSFUL$,DIFF,214,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_cmath_log_errors,CORE,^VERIFICATION SUCCESSFUL$,DIFF,173,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_conjugate_after_ops,CORE,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_conjugate_extended,CORE,^VERIFICATION SUCCESSFUL$,PASS,60,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_conjugate_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
complex_conjugate_handler,CORE,^VERIFICATION SUCCESSFUL$,DIFF,639,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_conjugate_identities,CORE,^VERIFICATION SUCCESSFUL$,PASS,1449,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_constructor_extended,CORE,^VERIFICATION SUCCESSFUL$,TOERR,88,,exit=6; expected=^VERIFICATION SUCCESSFUL$
complex_div_handler,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_equality_nan_inf,CORE,^VERIFICATION SUCCESSFUL$,DIFF,111,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_floordiv_mod_typeerror,CORE,^VERIFICATION SUCCESSFUL$,PASS,59,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_handler_normalize,CORE,^VERIFICATION SUCCESSFUL$,DIFF,68,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_handler_typeerror,CORE,^VERIFICATION SUCCESSFUL$,DIFF,62,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_isinstance,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
complex_isinstance_arith,CORE,^VERIFICATION SUCCESSFUL$,DIFF,53,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_isinstance_cond,CORE,^VERIFICATION SUCCESSFUL$,DIFF,55,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_isinstance_conj,CORE,^VERIFICATION SUCCESSFUL$,DIFF,56,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_isinstance_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
complex_isinstance_neg,CORE,^VERIFICATION SUCCESSFUL$,DIFF,52,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_keyword_args,CORE,^VERIFICATION SUCCESSFUL$,DIFF,58,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_math_typeerror,CORE,^VERIFICATION SUCCESSFUL$,DIFF,333,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_math_typeerror_edges,CORE,^VERIFICATION SUCCESSFUL$,DIFF,586,FAILED,expected=^VERIFICATION SUCCESSFUL$
complex_math_wrapper_and_int_edges,CORE,^VERIFICATION SUCCESSFUL$,DIFF,114,FAILED,expected=^VERIFICATION SUCCESSFUL$
