name,tag,expected,outcome,wall_ms,verdict,detail
for-loop12_fail,THOROUGH,^VERIFICATION FAILED$,PASS,57,FAILED,^VERIFICATION FAILED$
for-loop13,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,64,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
for-loop14,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
for-loop15,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
for-loop16_fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
for-loop17,CORE,^VERIFICATION SUCCESSFUL$,DIFF,58,FAILED,expected=^VERIFICATION SUCCESSFUL$
for-loop17_fail,CORE,^VERIFICATION FAILED$,PASS,58,FAILED,^VERIFICATION FAILED$
for-loop2,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
for-loop2_fail,THOROUGH,^VERIFICATION FAILED$,PASS,55,FAILED,^VERIFICATION FAILED$
for-loop3,CORE,^VERIFICATION SUCCESSFUL$,PASS,78,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
for-loop3_fail,CORE,^VERIFICATION FAILED$,PASS,121,FAILED,^VERIFICATION FAILED$
for-loop4,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
for-loop5,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
for-loop6,CORE,^VERIFICATION SUCCESSFUL$,PASS,56,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
for-loop7_fail,THOROUGH,^VERIFICATION FAILED$,PASS,60,FAILED,^VERIFICATION FAILED$
for-loop8_fail,CORE,^VERIFICATION FAILED$,PASS,61,FAILED,^VERIFICATION FAILED$
for-loop9,THOROUGH,^VERIFICATION SUCCESSFUL$,PASS,65,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
forward-declaration,CORE,^VERIFICATION SUCCESSFUL$,PASS,50,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
forward-declaration2,CORE,^VERIFICATION SUCCESSFUL$,PASS,50,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
forward-declaration2_fail,CORE,^VERIFICATION FAILED$,PASS,55,FAILED,^VERIFICATION FAILED$
forward-declaration3,CORE,^VERIFICATION SUCCESSFUL$,PASS,58,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
forward-declaration4,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
forward-declaration5,CORE,^VERIFICATION SUCCESSFUL$,DIFF,54,FAILED,expected=^VERIFICATION SUCCESSFUL$
forward-declaration6_fail,CORE,Unsupported function 'g' is reached,FAIL,51,FAILED,expected=Unsupported function 'g' is reached
forward-declaration_fail,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
fstring,THOROUGH,^VERIFICATION SUCCESSFUL$,TOERR,282,,exit=6; expected=^VERIFICATION SUCCESSFUL$
fstring2,CORE,^VERIFICATION SUCCESSFUL$,TOERR,151,,exit=6; expected=^VERIFICATION SUCCESSFUL$
fstring2_fail,CORE,^VERIFICATION FAILED$,TOERR,84,,exit=6; expected=^VERIFICATION FAILED$
fstring3,CORE,^VERIFICATION SUCCESSFUL$,PASS,57,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
fstring3_fail,CORE,^VERIFICATION FAILED$,TOERR,104,,exit=6; expected=^VERIFICATION FAILED$
fstring_fail,THOROUGH,^VERIFICATION FAILED$,TOERR,316,,exit=6; expected=^VERIFICATION FAILED$
func-nested,CORE,^VERIFICATION SUCCESSFUL$,PASS,52,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
func-nested2,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
func-nested3,CORE,^VERIFICATION SUCCESSFUL$,PASS,55,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
func-no-params-types-fail,CORE,^VERIFICATION SUCCESSFUL$,PASS,50,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call-fail,CORE,^VERIFICATION FAILED$,PASS,54,FAILED,^VERIFICATION FAILED$
function-call-fail2,CORE,^VERIFICATION FAILED$,PASS,52,FAILED,^VERIFICATION FAILED$
function-call-mult-params-fail,CORE,^VERIFICATION FAILED$,PASS,51,FAILED,^VERIFICATION FAILED$
function-call-var-obj,CORE,^VERIFICATION SUCCESSFUL$,PASS,54,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call10-pass,CORE,^VERIFICATION SUCCESSFUL$,PASS,59,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call11-pass,CORE,^VERIFICATION SUCCESSFUL$,PASS,51,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call12-pass,CORE,^VERIFICATION SUCCESSFUL$,PASS,50,SUCCESSFUL,^VERIFICATION SUCCESSFUL$
function-call13-fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
function-call14-fail,CORE,^VERIFICATION FAILED$,PASS,53,FAILED,^VERIFICATION FAILED$
