# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 36K of event 'cycles:u'
# Event count (approx.): 111392896531
#
# Children      Self  Command  Shared Object            Symbol                                                                                                                                                                                         ...
# ........  ........  .......  .......................  ..................................................................................................................................................................................................
#
     2.84%     0.00%  cbmc     cbmc                     [.] irept::~irept() (inlined)
     2.84%     0.00%  cbmc     cbmc                     [.] sharing_treet<irept, forward_list_as_mapt<dstringt, irept> >::~sharing_treet() (inlined)
     2.77%     0.51%  cbmc     cbmc                     [.] irept::add(dstringt const&)
     2.68%     0.44%  cbmc     cbmc                     [.] symex_slicet::slice(symex_target_equationt&)
     2.68%     0.00%  cbmc     cbmc                     [.] slice(symex_target_equationt&)
     2.65%     2.65%  cbmc     cbmc                     [.] irept::find(dstringt const&) const
     2.58%     0.00%  cbmc     cbmc                     [.] std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_get_node() (inlined)
     2.58%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > >::allocate(unsigned long, void const*) (inlined)
     2.58%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > > >::allocate(std::allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > >&, unsigned long) (inl...
     2.49%     0.02%  cbmc     cbmc                     [.] goto_symex_statet::l2_thread_write_encoding(ssa_exprt const&, namespacet const&)
     2.42%     0.00%  cbmc     cbmc                     [.] std::_Fwd_list_base<std::pair<dstringt, irept>, std::allocator<std::pair<dstringt, irept> > >::_M_put_node(std::_Fwd_list_node<std::pair<dstringt, irept> >*) (inlined)
     2.42%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > >::deallocate(std::_Fwd_list_node<std::pair<dstringt, irept> >*, unsigned long) (inlined)
     2.42%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > > >::deallocate(std::allocator<std::_Fwd_list_node<std::pair<dstringt, irept> > >&, std::_Fwd_list_no...
     2.38%     0.93%  cbmc     libstdc++.so.6.0.33      [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)
     2.38%     2.34%  cbmc     cbmc                     [.] std::_Hashtable<irept, irept, std::allocator<irept>, std::__detail::_Identity, std::equal_to<irept>, irep_hash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std...
     2.25%     0.01%  cbmc     cbmc                     [.] simplify_exprt::simplify_index_preorder(index_exprt const&)
     2.22%     2.22%  cbmc     cbmc                     [.] hash_string(char const*)
     2.03%     0.17%  cbmc     cbmc                     [.] std::__detail::_Map_base<string_ptrt, std::pair<string_ptrt const, unsigned int>, std::allocator<std::pair<string_ptrt const, unsigned int> >, std::__detail::_Select1st, std::equal_to<str...
     2.00%     0.00%  cbmc     cbmc                     [.] std::__cxx11::_List_base<SSA_stept, std::allocator<SSA_stept> >::_M_put_node(std::_List_node<SSA_stept>*) (inlined)
     2.00%     0.00%  cbmc     cbmc                     [.] std::__new_allocator<std::_List_node<SSA_stept> >::deallocate(std::_List_node<SSA_stept>*, unsigned long) (inlined)
     2.00%     0.00%  cbmc     cbmc                     [.] std::allocator_traits<std::allocator<std::_List_node<SSA_stept> > >::deallocate(std::allocator<std::_List_node<SSA_stept> >&, std::_List_node<SSA_stept>*, unsigned long) (inlined)
     1.95%     0.62%  cbmc     cbmc                     [.] symex_slicet::slice_assignment(SSA_stept&)
     1.90%     0.01%  cbmc     cbmc                     [.] goto_symext::symex_goto(goto_symex_statet&)
     1.81%     1.81%  cbmc     libc.so.6                [.] 0x00000000000a9c06
     1.81%     0.00%  cbmc     libc.so.6                [.] 0x000070e7b46a9c06
     1.80%     0.34%  cbmc     cbmc                     [.] simplify_exprt::simplify_node(exprt const&)
     1.74%     0.03%  cbmc     cbmc                     [.] SSA_assignment_stept::SSA_assignment_stept(symex_targett::sourcet, exprt, ssa_exprt, exprt, exprt, exprt, symex_targett::assignment_typet)
     1.71%     0.02%  cbmc     cbmc                     [.] value_sett::update_entry(value_sett::entryt const&, typet const&, reference_counting<std::map<unsigned long, std::optional<exprt>, std::less<unsigned long>, std::allocator<std::pair<unsig...
