# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 67K of event 'cycles:u'
# Event count (approx.): 200142690850
#
# Children      Self  Command  Shared Object                          Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ........  .......  .....................................  ..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     4.90%     0.00%  cvc5     cvc5                                   [.] 0x000000000105b727
     4.83%     0.00%  cvc5     cvc5                                   [.] 0x000000000090a4d9
     4.79%     0.00%  cvc5     cvc5                                   [.] 0x0000000001978b68
     4.57%     0.00%  cvc5     cvc5                                   [.] 0x00000000017d5f6c
     4.46%     0.00%  cvc5     cvc5                                   [.] 0x00000000006868e6
     4.46%     0.00%  cvc5     cvc5                                   [.] 0x00000000006c38f2
     4.45%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a83aea
     4.27%     0.00%  cvc5     cvc5                                   [.] 0x00000000014198fb
     4.26%     0.00%  cvc5     cvc5                                   [.] 0x00000000014198eb
     4.20%     0.00%  cvc5     cvc5                                   [.] 0x0000000001422dc7
     4.09%     0.00%  cvc5     cvc5                                   [.] 0x00000000008ff2bc
     4.04%     0.00%  cvc5     cvc5                                   [.] 0x0000000001871f48
     3.99%     0.00%  cvc5     cvc5                                   [.] 0x0000000001419920
     3.73%     0.00%  cvc5     cvc5                                   [.] 0x0000000001420d90
     3.72%     0.00%  cvc5     cvc5                                   [.] 0x0000000001a76ee1
     3.70%     0.00%  cvc5     cvc5                                   [.] 0x000000000106f43b
     3.62%     0.00%  cvc5     cvc5                                   [.] 0x000000000141ef9b
     3.47%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a84f14
     3.26%     0.00%  cvc5     cvc5                                   [.] 0x0000000001422510
     3.15%     0.00%  cvc5     cvc5                                   [.] 0x000000000072fbab
     3.15%     0.00%  cvc5     cvc5                                   [.] 0x000000000073483f
     3.15%     0.00%  cvc5     cvc5                                   [.] 0x00000000009e8ead
     3.14%     0.00%  cvc5     cvc5                                   [.] 0x0000000001422a27
     3.13%     0.00%  cvc5     cvc5                                   [.] 0x0000000001420e0d
     3.09%     0.00%  cvc5     cvc5                                   [.] 0x0000000001071fd1
     2.89%     0.00%  cvc5     cvc5                                   [.] 0x000000000090a6d4
     2.67%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a84b21
     2.66%     2.66%  cvc5     cvc5                                   [.] 0x0000000000684b21
     2.66%     0.00%  cvc5     cvc5                                   [.] 0x000000000141eef8
     2.65%     0.00%  cvc5     cvc5                                   [.] 0x00000000014224be
     2.62%     0.00%  cvc5     cvc5                                   [.] 0x0000000001422034
     2.62%     0.00%  cvc5     cvc5                                   [.] 0x00000000018b9717
     2.39%     0.00%  cvc5     cvc5                                   [.] 0x0000000001422521
     2.35%     0.00%  cvc5     cvc5                                   [.] 0x000000000090bb99
     2.28%     0.00%  cvc5     cvc5                                   [.] 0x0000000000900017
     2.24%     0.00%  cvc5     cvc5                                   [.] 0x000000000142781b
     2.23%     0.00%  cvc5     cvc5                                   [.] 0x000000000142479c
     2.21%     0.00%  cvc5     cvc5                                   [.] 0x0000000000740478
     2.21%     0.00%  cvc5     cvc5                                   [.] 0x00000000007445d6
     2.21%     0.00%  cvc5     cvc5                                   [.] 0x0000000000de8178
     2.21%     0.00%  cvc5     cvc5                                   [.] 0x0000000001871e17
     2.20%     2.20%  cvc5     cvc5                                   [.] 0x0000000000684b16
     2.20%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a84b16
     2.20%     0.00%  cvc5     cvc5                                   [.] 0x000000000090ac87
     2.07%     0.00%  cvc5     cvc5                                   [.] 0x0000000000fd5525
     2.03%     0.00%  cvc5     cvc5                                   [.] 0x0000000000fcb1ea
     2.02%     0.00%  cvc5     cvc5                                   [.] 0x0000000001092600
     2.00%     0.00%  cvc5     cvc5                                   [.] 0x0000000000de6fed
     2.00%     0.00%  cvc5     cvc5                                   [.] 0x0000000000dfa6db
     2.00%     0.00%  cvc5     cvc5                                   [.] 0x0000000001354552
     2.00%     0.00%  cvc5     cvc5                                   [.] 0x0000000001354daa
     1.94%     0.00%  cvc5     cvc5                                   [.] 0x00000000017035b9
     1.92%     1.92%  cvc5     cvc5                                   [.] 0x0000000000684b3d
     1.92%     0.00%  cvc5     cvc5                                   [.] 0x0000000000a84b3d
